n_atoms,bond_n_bonds,bond_bad_bonds,bond_bond_length_mean,bond_bond_length_std,bond_pass,omega_n_omega,omega_cis_count,omega_trans_count,omega_twisted_count,omega_cis_proline,omega_pass,chiral_n_residues,chiral_d_amino_acids,chiral_pass,clash_skipped,backbone_n_residues,backbone_n_breaks,backbone_missing_atoms,backbone_pass,phipsi_n_residues,phipsi_outliers,phipsi_generously_allowed,phipsi_pass,disulfide_n_disulfides,disulfide_bad_geometry,disulfide_pass,all_tests_pass,protein,category,subcategory,model
2250,288,4,1.4107846400056143,0.730205171089154,False,288,3,283,2,1,False,260,0,True,True,290,4,0,False,286,138,138,False,0,0,True,False,1AK4,Experimental,original,exp
4763,308,0,1.3338983267684814,0.0055564353785521,True,308,0,308,0,0,True,276,0,True,True,310,0,0,True,306,140,154,False,0,0,True,True,1AK4,AlphaFold,raw,model0
2394,308,2,1.310242222439296,0.0402460415694401,False,308,0,308,0,0,True,276,0,True,True,310,0,0,True,306,142,150,False,0,0,True,False,1AK4,AlphaFold,raw,model1
2394,308,3,1.319086418681696,0.0486869530793098,False,308,0,308,0,0,True,276,0,True,True,310,0,0,True,306,143,150,False,0,0,True,False,1AK4,AlphaFold,raw,model2
2394,308,3,1.2935952595480136,0.0447606469330859,False,308,0,308,0,0,True,276,0,True,True,310,0,0,True,306,145,148,False,0,0,True,False,1AK4,AlphaFold,raw,model3
2394,308,5,1.302293587352452,0.047719792271639,False,308,0,308,0,0,True,276,0,True,True,310,0,0,True,306,147,146,False,0,0,True,False,1AK4,AlphaFold,raw,model4
4788,616,0,1.324204871325185,0.0167089580205063,True,616,2,614,0,2,True,552,0,True,True,620,0,0,True,612,287,294,False,0,0,True,True,1AK4,Boltz,raw,model0
4788,616,0,1.3269014455752897,0.016523846296808,True,616,2,614,0,2,True,552,0,True,True,620,0,0,True,612,287,295,False,0,0,True,True,1AK4,Boltz,raw,model1
4788,616,0,1.3280329215992583,0.0165303457421912,True,616,2,614,0,2,True,552,0,True,True,620,0,0,True,612,288,293,False,0,0,True,True,1AK4,Boltz,raw,model2
4788,616,0,1.327946195056057,0.0163546962090108,True,616,2,614,0,2,True,552,0,True,True,620,0,0,True,612,289,291,False,0,0,True,True,1AK4,Boltz,raw,model3
4788,616,0,1.3269113610428185,0.0161293875670095,True,616,2,614,0,2,True,552,0,True,True,620,0,0,True,612,286,296,False,0,0,True,True,1AK4,Boltz,raw,model4
4476,288,0,1.331898413716,0.009535437513916,True,288,2,286,0,1,True,260,0,True,True,290,0,0,True,286,141,131,False,0,0,True,True,1AK4,Experimental,relaxed_cartesian_beta,r1
4476,288,0,1.3318024353919455,0.0090180467627857,True,288,3,284,1,1,False,260,0,True,True,290,0,0,True,286,139,133,False,0,0,True,False,1AK4,Experimental,relaxed_cartesian_beta,r2
4476,288,0,1.331642839090526,0.0092207759996401,True,288,2,284,2,1,False,260,0,True,True,290,0,0,True,286,143,131,False,0,0,True,False,1AK4,Experimental,relaxed_cartesian_beta,r3
4476,288,0,1.3318246981433377,0.0090502730999877,True,288,1,286,1,1,False,260,0,True,True,290,0,0,True,286,138,134,False,0,0,True,False,1AK4,Experimental,relaxed_cartesian_beta,r4
4476,288,0,1.3316380990259364,0.0097990731042119,True,288,1,286,1,1,False,260,0,True,True,290,0,0,True,286,137,136,False,0,0,True,False,1AK4,Experimental,relaxed_cartesian_beta,r5
4476,288,0,1.3315234359560435,0.0094239971368021,True,288,2,286,0,1,True,260,0,True,True,290,0,0,True,286,142,132,False,0,0,True,True,1AK4,Experimental,relaxed_cartesian_ref15,r1
4476,288,0,1.3322730724158864,0.0095467832849839,True,288,3,284,1,1,False,260,0,True,True,290,0,0,True,286,141,132,False,0,0,True,False,1AK4,Experimental,relaxed_cartesian_ref15,r2
4476,288,0,1.3318973509049772,0.0096752181757356,True,288,2,286,0,1,True,260,0,True,True,290,0,0,True,286,141,133,False,0,0,True,True,1AK4,Experimental,relaxed_cartesian_ref15,r3
4476,288,0,1.3320071285732746,0.0090706554940463,True,288,3,283,2,1,False,260,0,True,True,290,0,0,True,286,142,132,False,0,0,True,False,1AK4,Experimental,relaxed_cartesian_ref15,r4
4476,288,0,1.3323998222528064,0.00967807055039,True,288,3,283,2,1,False,260,0,True,True,290,0,0,True,286,143,132,False,0,0,True,False,1AK4,Experimental,relaxed_cartesian_ref15,r5
4472,288,4,1.4134322768940488,0.7779994626681194,False,288,2,284,2,1,False,260,0,True,True,290,4,0,False,286,141,131,False,0,0,True,False,1AK4,Experimental,relaxed_dualspace_beta,r1
4472,288,4,1.4166117919140322,0.811844286543576,False,288,2,285,1,1,False,260,0,True,True,290,4,0,False,286,142,131,False,0,0,True,False,1AK4,Experimental,relaxed_dualspace_beta,r2
4472,288,4,1.4119977471039056,0.7666863772510785,False,288,2,284,2,1,False,260,0,True,True,290,4,0,False,286,137,135,False,0,0,True,False,1AK4,Experimental,relaxed_dualspace_beta,r3
4472,288,4,1.4184618784568652,0.8351976625181207,False,288,2,284,2,1,False,260,0,True,True,290,4,0,False,286,140,133,False,0,0,True,False,1AK4,Experimental,relaxed_dualspace_beta,r4
4472,288,4,1.413854095157432,0.776570317947879,False,288,2,284,2,1,False,260,0,True,True,290,4,0,False,286,139,134,False,0,0,True,False,1AK4,Experimental,relaxed_dualspace_beta,r5
4472,288,4,1.4101179100099004,0.7420163786994187,False,288,2,284,2,1,False,260,0,True,True,290,4,0,False,286,141,133,False,0,0,True,False,1AK4,Experimental,relaxed_dualspace_ref15,r1
4472,288,4,1.4129860835958512,0.7724525321144422,False,288,2,285,1,1,False,260,0,True,True,290,4,0,False,286,140,134,False,0,0,True,False,1AK4,Experimental,relaxed_dualspace_ref15,r2
4472,288,4,1.4113827889623132,0.7537527280907814,False,288,3,285,0,1,True,260,0,True,True,290,4,0,False,286,140,134,False,0,0,True,False,1AK4,Experimental,relaxed_dualspace_ref15,r3
4472,288,4,1.4117840429579047,0.7639235550720224,False,288,2,285,1,1,False,260,0,True,True,290,4,0,False,286,142,133,False,0,0,True,False,1AK4,Experimental,relaxed_dualspace_ref15,r4
4472,288,4,1.4124368835122256,0.7644463124887222,False,288,2,284,2,1,False,260,0,True,True,290,4,0,False,286,141,133,False,0,0,True,False,1AK4,Experimental,relaxed_dualspace_ref15,r5
4476,288,4,1.4108092328326634,0.7302195847054809,False,288,4,284,0,1,True,260,0,True,True,290,4,0,False,286,140,134,False,0,0,True,False,1AK4,Experimental,relaxed_normal_beta,r1
4476,288,4,1.4107654113910582,0.7301969691424638,False,288,4,284,0,1,True,260,0,True,True,290,4,0,False,286,139,134,False,0,0,True,False,1AK4,Experimental,relaxed_normal_beta,r2
4476,288,4,1.410803215284128,0.7302063655947383,False,288,4,284,0,1,True,260,0,True,True,290,4,0,False,286,140,132,False,0,0,True,False,1AK4,Experimental,relaxed_normal_beta,r3
4476,288,4,1.410788928679089,0.730171741666041,False,288,4,284,0,1,True,260,0,True,True,290,4,0,False,286,141,133,False,0,0,True,False,1AK4,Experimental,relaxed_normal_beta,r4
4476,288,4,1.4107843919240202,0.7301881132650492,False,288,4,284,0,1,True,260,0,True,True,290,4,0,False,286,141,133,False,0,0,True,False,1AK4,Experimental,relaxed_normal_beta,r5
4476,288,4,1.4107540841285595,0.7302195238443558,False,288,4,284,0,1,True,260,0,True,True,290,4,0,False,286,138,137,False,0,0,True,False,1AK4,Experimental,relaxed_normal_ref15,r1
4476,288,4,1.4107659427354755,0.7302080444305016,False,288,4,284,0,1,True,260,0,True,True,290,4,0,False,286,139,136,False,0,0,True,False,1AK4,Experimental,relaxed_normal_ref15,r2
4476,288,4,1.4107955462478583,0.7302161349700106,False,288,4,284,0,1,True,260,0,True,True,290,4,0,False,286,137,138,False,0,0,True,False,1AK4,Experimental,relaxed_normal_ref15,r3
4476,288,4,1.4107781519475968,0.7301995297242709,False,288,4,284,0,1,True,260,0,True,True,290,4,0,False,286,137,137,False,0,0,True,False,1AK4,Experimental,relaxed_normal_ref15,r4
4476,288,4,1.4107751235997286,0.7302123848724148,False,288,4,284,0,1,True,260,0,True,True,290,4,0,False,286,139,135,False,0,0,True,False,1AK4,Experimental,relaxed_normal_ref15,r5
4763,308,0,1.331821914917504,0.0091405296966489,True,308,0,308,0,0,True,276,0,True,True,310,0,0,True,306,140,155,False,0,0,True,True,1AK4,AlphaFold,relaxed_cartesian_beta,ranked_0_r1
4763,308,0,1.3318552768618654,0.0092826504350907,True,308,0,308,0,0,True,276,0,True,True,310,0,0,True,306,141,153,False,0,0,True,True,1AK4,AlphaFold,relaxed_cartesian_beta,ranked_0_r2
4763,308,0,1.3317240482375057,0.0093510674680936,True,308,0,308,0,0,True,276,0,True,True,310,0,0,True,306,141,153,False,0,0,True,True,1AK4,AlphaFold,relaxed_cartesian_beta,ranked_0_r3
